Account Name,Opportunity Name,Stage,Close Date,Created Date,Type,Total ACV,Primary Campaign Source,Closed Lost Reason,Law Firm Practice Area,NumofLawyers
Griffith and Sons,Decentralized local groupware,Lost,12/12/23,10/25/22,Cross-Sell,9600.0,Inbound-ContactEase-DemoRequest,Inertia (Provide Details),Education; Labor & Employment; Litigation,32.0
Olson-Williams,Synchronized bandwidth-monitored superstructure,Lost,6/14/24,10/5/22,Cross-Sell,9600.0,webinar - ContactEase and Coyote - ON24-090222,Inertia (Provide Details),Litigation,12.0
Jones-Barker,Advanced 24hour matrices,Lost,3/10/23,4/5/22,Cross-Sell,9600.0,CE Integration Data,Inertia (Provide Details),Commercial; Insurance; Labor & Employment,21.0
Durham Inc,Exclusive solution-oriented Graphic Interface,Lost,7/25/23,4/5/22,Cross-Sell,9600.0,CE Integration Data,Inertia (Provide Details),Bankruptcy; Business Organizations; Commercial; Construction; Corporate & Securities; Healthcare; Insurance; Intellectual Property; Litigation; Oil & Gas; Other; Professional Responsibility; Real Estate; Sports; Trusts & Estates,23.0
"Mckee, Long and Ortiz",Optional radical parallelism,Open,11/15/24,7/29/24,Cross-Sell,9792.0,Cold Call,,Corporate & Securities; Government; Land Use & Zoning; Litigation; Real Estate; Tax; Trusts & Estates,39.0
"Turner, Martinez and Stein",Re-contextualized reciprocal matrices,Lost,8/19/24,7/29/24,Cross-Sell,9792.0,Cold Call,Feature (Provide Details),,27.0
"Hansen, Richardson and Burton",Synergistic cohesive capacity,Lost,11/1/23,2/8/23,Upsell,10000.08,No Known Campaign Source,Feature (Provide Details),,241.0
Barry and Sons,Visionary neutral moderator,Won,3/31/23,11/4/22,Upsell,10114.56,No Known Campaign Source,,,657.0
Gomez-Campbell,Reactive empowering solution,Lost,6/26/23,6/6/23,Upsell,10344.0,Check-in Call,Price (Provide Details),Media,6.0
Riggs and Sons,Optimized static conglomeration,Won,8/24/23,3/27/23,New,10416.0,Website Demo + Contact Us - Form Submissions,,Bankruptcy; Commercial Transactions; Corporate Governance; Energy; Environmental; Insurance; Intellectual Property; Labor & Employment; Mergers & Acquisitions; Real Estate; Structured Finance; Tax; Trusts & Estates,171.0
Figueroa Group,Horizontal empowering encoding,Won,6/27/24,7/25/22,Upsell,10550.04,No Known Campaign Source,,,90.0
Cummings-Clark,Switchable demand-driven support,Won,4/26/24,4/16/24,Upsell,10641.96,No Known Campaign Source,,Bankruptcy; Commercial Finance; Contracts; Elder Law; Family; Government; Healthcare; Immigration; Intellectual Property; International; Labor & Employment; Litigation; Media; Other; Real Estate; Restructuring; Tax; Trademark,41.0
Rich Ltd,Exclusive holistic methodology,Lost,4/18/23,4/3/23,Upsell,10716.0,Cold Call,Functionality (Provide Details),Commercial; Construction; Mediation,29.0
Bennett-Medina,Operative heuristic attitude,Open,12/10/24,9/16/24,Cross-Sell,10800.0,,,Bankruptcy; Business Organizations; Commercial; Healthcare; Litigation; Mediation; Real Estate,16.0
"Malone, Evans and Church",Innovative national utilization,Won,7/26/24,7/26/24,Upsell,10800.0,Cold Call,,Appellate; Business Organizations; Commercial; Commercial Transactions; Construction; Healthcare; Insurance; Litigation; Other; Product Liability; Transportation,27.0
Larson-Chaney,Front-line coherent capability,Lost,4/23/24,7/26/23,Upsell,10800.0,Check-in Call,Price (Provide Details),Family; Litigation; Other; Tax,7.0
Calhoun and Sons,Public-key systematic help-desk,Open,10/31/24,4/30/24,Cross-Sell,11340.0,Check-in Call,,Appellate; Construction; Environmental; Healthcare; Insurance; Labor & Employment; Litigation,21.0
"Brown, Berg and Flores",Multi-layered systemic archive,Won,4/9/24,3/26/24,Upsell,11604.0,Cold Call,,Appellate; Business Organizations; Commercial; Insurance; Litigation; Other,16.0
"Bridges, Johnson and Vang",Secured explicit complexity,Won,12/15/23,12/6/23,Upsell,11850.0,Check-in Call,,Labor & Employment; Mergers & Acquisitions; Other; Private & Hedge Funds; Real Estate; Tax,6.0
Medina Inc,Multi-lateral systematic extranet,Open,12/31/24,7/23/24,New,11880.0,*NYLW 2024,,,22.0
Reynolds-Bryant,Integrated dedicated policy,Won,9/25/24,9/25/24,Upsell,12000.0,Check-in Call,,Commercial; Construction; Insurance; Litigation; Other; Product Liability; Professional Responsibility; Real Estate,13.0
"Moore, Lee and Schneider",User-centric optimal extranet,Won,8/26/24,8/26/24,Upsell,12000.0,Cold Call,,Appellate; Bankruptcy; Construction; Energy; Environmental; Labor & Employment; Litigation; Other; Real Estate,30.0
Perez Group,Synergistic demand-driven secured line,Won,5/29/24,5/29/24,Upsell,12000.0,No Known Campaign Source,,Bankruptcy; Energy; Insurance; Litigation,32.0
Valdez PLC,Right-sized local process improvement,Won,4/2/24,4/2/24,Upsell,12000.0,No Known Campaign Source,,Appellate; Construction; Education; Energy; Environmental; Labor & Employment; Litigation; Other; Public Finance,41.0
Conway-Bauer,Intuitive eco-centric pricing structure,Lost,6/14/24,9/28/23,Cross-Sell,12000.0,Website Demo + Contact Us - Form Submissions,Functionality (Provide Details),Copyright; Intellectual Property; Litigation; Patent; Trademark,23.0
Kennedy LLC,User-friendly human-resource neural-net,Won,9/13/23,9/13/23,Upsell,12000.0,No Known Campaign Source,,Employee Benefits; Labor & Employment; Litigation; Other; Workers Compensation,38.0
"Howell, Allison and Salinas",Synergistic composite attitude,Won,9/11/23,9/8/23,Upsell,12000.0,No Known Campaign Source,,Commercial; Construction; Environmental; FDA; Financial Services Regulatory; Insurance; Intellectual Property; Labor & Employment; Maritime; Municipal; Other; Professional Responsibility; Real Estate,212.0
Bradley-Butler,Devolved clear-thinking capability,Won,8/15/23,6/21/23,Upsell,12000.0,No Known Campaign Source,,Class Actions; Personal Injury; Product Liability,97.0
"Harding, Gonzales and Davenport",Visionary mobile solution,Lost,9/14/23,2/7/23,Cross-Sell,12000.0,email-Monthly Newsletter-DECEMBER 2022,Inertia (Provide Details),Arbitration; Commercial; Labor & Employment,22.0
"Jones, Smith and Estrada",Switchable grid-enabled moderator,Won,3/31/23,4/5/22,Cross-Sell,12000.0,CE Integration Data,,Antitrust; Arbitration; Bankruptcy; Business Organizations; Construction; Energy; Finance & Banking; Financing & Banking; Insurance; International; Labor & Employment; Litigation; Maritime; Real Estate; Tax; Trusts & Estates,41.0
"Wood, Alvarado and Moreno",Sharable empowering circuit,Open,12/31/24,10/9/24,Cross-Sell,12096.0,,,Family; Intellectual Property; Trusts & Estates,22.0
Wilkerson-Freeman,Optimized tangible interface,Won,3/20/23,4/29/22,Upsell,12240.0,Check-in Call,,Construction; Litigation; Real Estate,22.0
"Flowers, Bradley and Graham",Upgradable cohesive protocol,Won,6/6/23,6/1/23,Upsell,12279.0,No Known Campaign Source,,Construction; Labor & Employment; Maritime,28.0
"Harris, Brown and Vasquez",Innovative discrete projection,Lost,6/1/23,5/4/23,Upsell,12368.04,No Known Campaign Source,Feature (Provide Details),Class Actions; Personal Injury; Workers Compensation,15.0
"Gilbert, Perez and Sullivan",Programmable grid-enabled system engine,Won,2/24/23,7/6/22,Upsell,12480.0,DEMO REQUEST-Coyote Cloud-102022,,,12.0
"York, Decker and Greene",Proactive non-volatile secured line,Lost,2/22/24,5/9/23,Upsell,12696.96,No Known Campaign Source,Inertia (Provide Details),Corporate & Securities; Family; Tax,68.0
Mcdonald Ltd,Expanded bandwidth-monitored intranet,Lost,8/10/23,5/24/22,Cross-Sell,13200.0,Cold Call,Inertia (Provide Details),Intellectual Property,19.0
Pham and Sons,Balanced cohesive process improvement,Open,12/31/24,2/8/24,New,13608.0,BDR Outreach,,,24.0
"Blair, Underwood and Norman",Ameliorated transitional website,Won,7/30/24,7/30/24,Upsell,13750.08,No Known Campaign Source,,Insurance,104.0
Hawkins-Brown,Centralized scalable hub,Open,12/6/24,6/20/24,Cross-Sell,13800.0,Cold Call,,Antitrust,40.0
"Lopez, Avila and Solomon",Adaptive foreground secured line,Open,12/27/24,3/8/24,Cross-Sell,14025.6,ContactEase-40%-CrossSell-052424,,Bankruptcy; Class Actions; Energy; Environmental; Healthcare; Insurance; Intellectual Property; Labor & Employment; Patent; Real Estate,66.0
Rodriguez-Perez,Quality-focused methodical focus group,Lost,9/4/24,7/24/24,New,14400.0,Demo Requests-Coyote-Website MQLs-071322,Feature (Provide Details),,
"Marks, Hernandez and Hawkins",Sharable 4thgeneration task-force,Open,11/22/24,7/15/24,Cross-Sell,14400.0,Cold Call,,Bankruptcy; Business Organizations; Commercial; Construction; Corporate & Securities; Healthcare; Insurance; Intellectual Property; Litigation; Oil & Gas; Other; Professional Responsibility; Real Estate; Sports; Trusts & Estates,23.0
Johnson LLC,Robust solution-oriented methodology,Lost,12/13/23,11/16/23,New,14400.0,BDR Outreach,Functionality (Provide Details),,30.0
Mendoza Inc,Polarized motivating strategy,Open,10/30/24,10/3/23,Cross-Sell,14400.0,Website Demo + Contact Us - Form Submissions,,Intellectual Property; Patent,30.0
Dorsey-Mcdonald,Centralized zero-defect leverage,Lost,3/20/24,5/31/23,New,14400.0,WR-Demo Request-Website-SurePoint.com-PG1142A1,Inertia (Provide Details),,28.0
Lewis and Sons,De-engineered zero tolerance success,Open,11/4/24,11/1/22,Cross-Sell,14400.0,webinar - ContactEase and Coyote - ON24-090222,,Appellate; Cannibis; Commercial; Construction; Environmental; Healthcare; Labor & Employment; Other; Product Liability; Transportation,16.0
Irwin-Knapp,Virtual stable open system,Lost,1/26/23,10/5/22,Upsell,14400.0,webinar - ContactEase and Coyote - ON24-090222,Inertia (Provide Details),Appellate; Cannibis; Commercial; Construction; Environmental; Healthcare; Labor & Employment; Other; Product Liability; Transportation,16.0
Walker-Woodard,Synergistic 4thgeneration groupware,Lost,7/27/23,10/5/22,Cross-Sell,14400.0,webinar - ContactEase and Coyote - ON24-090222,Inertia (Provide Details),Bankruptcy; Commercial; Construction; Corporate & Securities; Finance & Banking; Healthcare; Insurance; Intellectual Property; Labor & Employment; Mergers & Acquisitions; Oil & Gas; Other; Private & Hedge Funds; Real Estate; Tax; Trusts & Estates,88.0
Jefferson-Oneill,Up-sized intermediate methodology,Lost,6/12/24,7/8/22,Cross-Sell,14400.0,Cold Call,Inertia (Provide Details),Bankruptcy; Litigation; Real Estate,25.0
Day-Hamilton,Multi-layered national paradigm,Won,5/31/23,5/19/22,Cross-Sell,14400.0,email-ALA 2022 RSVP-4-051322,,Financial Services Regulatory; Nonprofit Organizations; Real Estate; Tax,27.0
Sullivan LLC,Re-contextualized demand-driven hardware,Open,10/31/24,6/5/23,Upsell,14484.96,No Known Campaign Source,,Construction; Insurance; Real Estate,48.0
Collins-Sanders,Assimilated intermediate intranet,Open,12/31/24,7/15/24,Cross-Sell,15000.0,LMA Booth Visitors 2024,,Commercial; Insurance; Labor & Employment,41.0
Lewis-Mata,Persevering local task-force,Lost,3/7/24,1/2/24,New,15000.0,BDR Outreach,Price (Provide Details),,6.0
Olson PLC,Customizable maximized matrix,Lost,11/16/23,3/31/23,Upsell,15000.0,No Known Campaign Source,Inertia (Provide Details),Corporate & Securities; Litigation,568.0
Nguyen and Sons,Upgradable modular process improvement,Lost,6/12/24,3/24/23,Upsell,15000.0,No Known Campaign Source,Inertia (Provide Details),Commercial Transactions; Intellectual Property; Labor & Employment; Litigation,138.0
Buchanan-Alexander,Monitored hybrid archive,Lost,1/25/24,4/5/22,Cross-Sell,15000.0,CE Integration Data,Inertia (Provide Details),Commercial; Labor & Employment; Real Estate,21.0
Villarreal Ltd,Networked object-oriented emulation,Open,11/27/24,10/16/24,Cross-Sell,15360.0,,,,33.0
Stephens and Sons,Cloned heuristic circuit,Lost,10/25/24,4/19/24,New,15360.0,email-LMA Annual Conference-2024-031524-prospects,Inertia (Provide Details),,30.0
James and Sons,Future-proofed intangible challenge,Lost,6/14/24,11/1/23,Cross-Sell,15360.0,Check-in Call,Inertia (Provide Details),Bankruptcy; Commercial; White Collar,31.0
Boyd Group,Reverse-engineered mobile encoding,Lost,6/23/23,4/3/23,New,15600.0,IGNITE-prospect event-030523,Inertia (Provide Details),,37.0
"Dawson, Sheppard and Ford",Public-key client-driven customer loyalty,Lost,1/3/24,11/1/23,New,15744.0,email-ContactEase-CRM-102523,Inertia (Provide Details),,28.0
Morrison Inc,Multi-tiered didactic focus group,Lost,8/16/23,2/7/23,New,16200.0,email-webinar-Coyote Overview-1-011323,Price (Provide Details),,7.0
Alvarez-Mcdaniel,Future-proofed demand-driven solution,Won,3/27/23,7/19/22,Upsell,16208.4,Coyote Transfer Opp,,Antitrust; Construction; Insurance; Intellectual Property; Labor & Employment; Litigation; Personal Injury,20.0
Castillo LLC,Persistent dynamic conglomeration,Open,12/16/24,2/22/24,Cross-Sell,16320.0,No Known Campaign Source,,Copyright; Intellectual Property; Mergers & Acquisitions,28.0
"Duffy, Bush and Romero",Synergized bi-directional focus group,Won,1/26/23,1/19/23,Cross-Sell,16320.0,Website Demo + Contact Us - Form Submissions,,Antitrust; Business Organizations; Energy; Environmental; Finance & Banking; Intellectual Property; Labor & Employment; Litigation; Real Estate,37.0
Jones Group,Synergistic systemic middleware,Lost,2/5/23,6/6/22,Cross-Sell,16320.0,Website Demo + Contact Us - Form Submissions,Inertia (Provide Details),Antitrust; Business Organizations; Energy; Environmental; Finance & Banking; Intellectual Property; Labor & Employment; Litigation; Real Estate,37.0
Cruz-Rice,Adaptive mobile collaboration,Lost,10/25/24,11/27/23,New,16416.0,Cold Call,Inertia (Provide Details),,36.0
Aguilar-Mcgee,Re-contextualized tertiary firmware,Won,3/23/23,7/6/22,Upsell,16476.0,DEMO REQUEST-Coyote Cloud-102022,,Commercial; Insurance; Labor & Employment; Litigation; Other; Product Liability; Professional Responsibility,5.0
Taylor Ltd,Cross-group user-facing service-desk,Won,9/29/23,9/14/23,Upsell,16500.0,Check-in Call,,Appellate; Arbitration; Litigation; Mediation; Other; Trial & Appellate Litigation,18.0
"Jones, Davis and Cruz",Up-sized fresh-thinking software,Won,12/11/23,7/18/22,Upsell,16500.0,Cold Call,,,65.0
Collins-Watts,Re-engineered logistical archive,Lost,6/13/24,5/20/24,Cross-Sell,16632.0,ContactEase-40%-CrossSell-052424,Feature (Provide Details),Arbitration; Commercial; Environmental; Government; Land Use & Zoning; Litigation; Mediation; Other; Real Estate; Tax; Water,48.0
Richardson PLC,Advanced multi-state flexibility,Lost,3/21/24,4/1/22,New,16800.0,Website Demo + Contact Us - Form Submissions,Inertia (Provide Details),,37.0
Alexander-Ponce,Operative systematic frame,Won,3/28/23,3/23/23,Upsell,16980.0,Check-in Call,,,75.0
Massey-Figueroa,Multi-layered intermediate alliance,Lost,5/10/23,7/16/22,Cross-Sell,17172.0,Website Demo + Contact Us - Form Submissions,Inertia (Provide Details),Criminal; Personal Injury; Trusts & Estates,12.0
Jordan and Sons,Right-sized radical circuit,Lost,7/8/23,11/1/22,Upsell,17365.92,webinar-ContactEaseCloud #3-102522,Functionality (Provide Details),Business Organizations; Commercial; Construction; Corporate Governance; Finance & Banking; Insurance; Intellectual Property; Labor & Employment; Litigation; Real Estate; Trusts & Estates,49.0
Sawyer-Hubbard,Sharable systemic parallelism,Open,12/15/24,2/13/24,Cross-Sell,17538.96,Check-in Call,,Commercial; Labor & Employment; Litigation,26.0
"Cole, Cook and Nguyen",Phased context-sensitive functionalities,Won,8/16/24,7/23/24,Upsell,17604.0,No Known Campaign Source,,Commercial; Education; Land Use & Zoning,52.0
"Clements, Reed and Garrison",Decentralized encompassing focus group,Won,12/22/23,12/21/23,Upsell,17604.0,Check-in Call,,Bankruptcy; Commercial; Finance & Banking; Litigation; Real Estate,1.0
Odonnell and Sons,Synergistic heuristic firmware,Won,12/14/23,12/12/23,Upsell,17604.0,Check-in Call,,,5.0
Serrano-Romero,Inverse object-oriented Graphic Interface,Won,12/18/23,12/12/23,Upsell,17604.0,Check-in Call,,,4.0
"Skinner, Ward and Beard",Devolved human-resource middleware,Lost,6/13/24,7/6/22,Upsell,17604.0,Cold Call,Inertia (Provide Details),Construction; Energy; Environmental; Insurance; Oil & Gas; Other; Transportation,2.0
Price-Kim,Cross-platform content-based utilization,Won,2/14/23,2/2/23,New,17700.0,Inbound-Demo-Coyote Analytics,,Real Estate,6.0
Atkins and Sons,Future-proofed dedicated data-warehouse,Lost,2/12/24,1/26/24,New,17712.0,Demo Request-Inbound ContactEase Cross-Sells,Price (Provide Details),,41.0
"Burgess, Anderson and Oliver",Versatile optimizing open system,Won,10/25/23,10/2/23,Upsell,17820.0,Check-in Call,,Energy; Environmental; Labor & Employment; Maritime; Other; Product Liability,17.0
Stanton-Parker,Right-sized impactful help-desk,Lost,8/7/24,6/7/23,Upsell,17835.96,webinar-ContactEase-Why CRM Law Firms and Client Relationship Management-022323,Inertia (Provide Details),,99.0
Beard-Berry,Advanced radical archive,Lost,11/4/24,10/4/24,New,18000.0,BDR Outreach,Inertia (Provide Details),,28.0
Mendez-Shepard,Distributed secondary help-desk,Won,11/17/23,10/24/23,New,18000.0,Referred by Employee,,Environmental; Insurance; Labor & Employment; Land Use & Zoning; Mining; Native American; Natural Resources; Oil & Gas; Real Estate,7.0
Payne and Sons,Realigned tertiary circuit,Lost,6/12/24,10/9/23,Upsell,18000.0,No Known Campaign Source,Inertia (Provide Details),Business Organizations; Healthcare; Insurance; Other; Professional Responsibility; Real Estate; Tax; Trusts & Estates,34.0
Graves-Graham,Innovative heuristic hierarchy,Lost,9/1/23,7/24/23,New,18000.0,Cold Call,Inertia (Provide Details),,11.0
"Hernandez, Smith and Rollins",Reverse-engineered context-sensitive system engine,Won,5/12/23,5/12/23,Upsell,18000.0,No Known Campaign Source,,Communications; Construction; Education; Government; Litigation; Other; Public Policy; Real Estate,99.0
Pierce Ltd,Fundamental fresh-thinking firmware,Lost,6/21/23,4/19/23,New,18000.0,Website Demo + Contact Us - Form Submissions,Inertia (Provide Details),Real Estate,0.0
"Cline, Forbes and Carpenter",Secured mission-critical solution,Won,2/18/23,2/9/23,New,18000.0,Consultant,,Insurance,6.0
Weaver-Patterson,Devolved responsive paradigm,Lost,7/14/23,10/27/22,New,18000.0,demo-request-COYOTE CLOUD post-webinar survey-102622,Inertia (Provide Details),Construction; Insurance; Product Liability,4.0
"Hernandez, Miller and Martin",Diverse mobile hub,Lost,1/12/23,8/31/22,New,18000.0,Webinar Demo-COYOTE Overview with Lucas-Registrants-083122,Inertia (Provide Details),Bankruptcy; Corporate & Securities; Labor & Employment; Litigation; Real Estate,31.0
Hernandez-Taylor,Stand-alone uniform conglomeration,Lost,7/25/23,4/5/22,New,18000.0,CE Integration Data,Inertia (Provide Details),,151.0
"Arellano, Wood and Griffin",Fully-configurable optimal toolset,Won,7/16/24,7/16/24,Upsell,18096.96,No Known Campaign Source,,Commercial; Copyright; Intellectual Property,24.0
"Pearson, Wolf and Jackson",Extended optimizing collaboration,Lost,6/10/24,5/10/24,Upsell,18468.0,webinar-Coyote Practice Management for ON PREM-050924,Price (Provide Details),Construction; Contracts; Copyright; Insurance; Litigation; Other; Product Liability; Real Estate,9.0
Mendoza PLC,Optimized encompassing info-mediaries,Open,11/26/24,4/4/24,Upsell,18480.0,Cold Call,,Insurance; Maritime; Other; Transportation,13.0
Peterson and Sons,Realigned zero tolerance focus group,Lost,5/14/24,8/25/23,Cross-Sell,18489.96,Cold Call,Price (Provide Details),Corporate & Securities; Insurance; Real Estate; Tax,42.0
Harvey LLC,Front-line global frame,Lost,8/15/24,6/25/24,New,18576.0,demo request-Legal Marketing Association LMA-2024,Inertia (Provide Details),,51.0
Mahoney-Morgan,Configurable 6thgeneration service-desk,Won,3/16/23,2/22/23,New,19020.0,Website Demo + Contact Us - Form Submissions,,Corporate Governance; Intellectual Property; Litigation,8.0
Garcia-Campbell,Customizable 5thgeneration migration,Won,3/14/24,11/16/23,New,19147.92,BDR Outreach,,Healthcare,7.0
"Watson, Martin and Wilson",Exclusive global neural-net,Open,11/25/24,7/11/24,Cross-Sell,19200.0,No Known Campaign Source,,Corporate Governance; Government; International; Litigation; Other,24.0
Roberts Group,Ameliorated real-time archive,Open,12/30/24,6/12/24,Upsell,19200.0,No Known Campaign Source,,Bankruptcy; Commercial; Litigation; Mediation; Mergers & Acquisitions; Other,14.0
Moore-Johnson,Streamlined responsive protocol,Open,12/13/24,11/7/23,Upsell,19200.0,No Known Campaign Source,,Construction; Insurance; Municipal; Other; Product Liability,6.0
Simmons-Sanchez,Configurable hybrid array,Won,6/26/23,6/26/23,Upsell,19200.0,No Known Campaign Source,,Class Actions; Medical Malpractice; Personal Injury; Professional Responsibility,5.0
Fisher-Simmons,Pre-emptive solution-oriented workforce,Lost,4/30/24,5/22/23,New,19200.0,WR-Demo Request-0222-Solutions Overview:ContactEase-PG1137A1,Inertia (Provide Details),,37.0
Boyd-Wolf,Expanded optimal definition,Lost,11/7/23,4/24/23,Upsell,19200.0,Check-in Call,Functionality (Provide Details),,38.0
Sandoval LLC,Implemented solution-oriented collaboration,Lost,1/24/24,4/18/23,Cross-Sell,19200.0,Referred by Employee,Functionality (Provide Details),,22.0
Nelson-Wilkins,Networked asynchronous extranet,Lost,5/8/23,4/6/23,Cross-Sell,19200.0,IGNITE-prospect event-030523,Functionality (Provide Details),Corporate & Securities; Real Estate; Tax,38.0
Underwood-Roberts,Vision-oriented optimal model,Lost,9/19/23,3/20/23,Cross-Sell,19200.0,Demo Request-Inbound ContactEase Cross-Sells,Inertia (Provide Details),Bankruptcy; Insurance; Litigation,32.0
Diaz Group,Organized 3rdgeneration structure,Won,12/21/23,3/15/23,New,19200.0,Website Demo + Contact Us - Form Submissions,,Labor & Employment; Mergers & Acquisitions; Real Estate; Tax,76.0
"Kaiser, Walsh and Kent",De-engineered executive paradigm,Lost,12/18/23,1/26/23,New,19200.0,WR-Demo Request-0222-Solutions Overview:ContactEase-PG1137A1,Inertia (Provide Details),,32.0
Owens PLC,Synergistic bi-directional task-force,Lost,6/15/23,6/28/22,New,19200.0,Coyote Transfer Opp,Inertia (Provide Details),Malpractice,10.0
"Shaffer, Roberts and Wright",Seamless bandwidth-monitored conglomeration,Lost,2/3/23,6/20/22,New,19200.0,Demo Requests-Coyote-Website MQLs-071322,Inertia (Provide Details),,15.0
Heath PLC,De-engineered zero administration application,Open,11/5/24,9/17/24,Upsell,19296.0,,,Corporate & Securities; Family; Tax,68.0
"Stephens, Cooper and Anderson",Polarized client-server website,Won,7/26/23,7/18/22,New,19332.0,Inbound-ContactEase-DemoRequest,,Intellectual Property; Litigation,45.0
Johns Group,Realigned human-resource attitude,Lost,7/2/24,3/1/24,Upsell,19380.0,Check-in Call,Inertia (Provide Details),Bankruptcy; Business Organizations; Commercial; Construction; Family; Other; Trusts & Estates,12.0
"Jones, Bailey and Armstrong",Visionary responsive Local Area Network,Lost,4/24/23,4/21/23,Upsell,19400.04,Check-in Call,Price (Provide Details),Administrative; Business Organizations; Family; Other; Tax; Trusts & Estates,5.0
King-Thomas,Virtual web-enabled secured line,Lost,5/1/23,7/6/22,Upsell,19400.04,Check-in Call,Inertia (Provide Details),Business Organizations; Copyright; Corporate & Securities; Energy; Finance & Banking; Healthcare; Intellectual Property; Mergers & Acquisitions; Other; Patent; Real Estate; Tax; Trademark; Venture Capital,15.0
Harper LLC,Distributed reciprocal Local Area Network,Open,11/22/24,1/16/24,Upsell,19800.0,No Known Campaign Source,,Mediation; Other; Personal Injury; Workers Compensation,16.0
Stevenson-Thomas,User-friendly system-worthy architecture,Won,5/23/23,2/28/23,New,19800.0,Demo Requests-Coyote-Website MQLs-071322,,Trusts & Estates,9.0
Bennett-Mendoza,Universal well-modulated projection,Lost,6/14/24,4/7/22,Cross-Sell,20001.6,SurePoint World 2022,Inertia (Provide Details),Bankruptcy; Business Organizations; Corporate & Securities,43.0
Goodwin Ltd,Proactive next generation hub,Lost,9/17/24,9/10/24,Upsell,20064.0,WR-Demo Request-Website-SurePoint.com-PG1142A1,Functionality (Provide Details),Business Organizations; Commercial; Construction; Contracts; Corporate & Securities; Environmental; Family; Government; Insurance; Labor & Employment; Litigation; Mediation; Other; Real Estate; Trusts & Estates,10.0
Thompson LLC,Innovative context-sensitive intranet,Open,11/27/24,6/12/24,Upsell,20064.0,webinar-Coyote Practice Management for ON PREM-050924,,Class Actions; Environmental; Legal Malpractice; Maritime; Oil & Gas; Other; Product Liability,6.0
Hoover PLC,Focused high-level methodology,Won,7/25/24,6/11/24,Upsell,20064.0,webinar-Coyote Practice Management for ON PREM-050924,,Appellate; Arbitration; Bankruptcy; Class Actions; Commercial; Construction; Energy; Environmental; Financing & Banking; Gaming; Insurance; Labor & Employment; Maritime; Mediation; Municipal; Natural Resources; Real Estate,17.0
"Harris, Shepherd and Smith",Multi-tiered client-driven neural-net,Open,12/30/24,3/1/23,Upsell,20064.0,Demo Requests-Coyote-Website MQLs-071322,,Business Organizations; Commercial; Contracts; Energy; Insurance; Maritime; Medical Malpractice; Other; Transportation,9.0
Fisher-Long,Universal asynchronous open system,Won,6/9/23,4/5/23,New,20340.0,Demo Requests-Coyote-Website MQLs-071322,,Appellate; Construction; Contracts; Litigation; Medical Malpractice; Product Liability; Professional Responsibility; Real Estate,11.0
"Good, Robinson and Adams",Customizable impactful protocol,Open,11/28/24,5/16/24,Cross-Sell,20400.0,Cold Call,,Corporate & Securities; Environmental; Insurance,53.0
Henderson-Hawkins,Triple-buffered 6thgeneration encoding,Won,8/15/23,8/15/23,Upsell,20400.0,Cold Call,,Antitrust,40.0
Gomez Ltd,De-engineered optimal hub,Lost,9/25/23,7/31/23,New,20400.0,BDR Outreach,Price (Provide Details),Environmental; Insurance; Labor & Employment; Land Use & Zoning; Mining; Native American; Natural Resources; Oil & Gas; Real Estate,7.0
Wood Ltd,Enhanced optimal algorithm,Lost,9/28/23,7/31/23,New,20400.0,Referred by Employee,Price (Provide Details),,5.0
"Quinn, Cole and Smith",Managed systematic product,Won,9/14/23,7/24/23,Upsell,20400.0,No Known Campaign Source,,Corporate & Securities; Intellectual Property; Labor & Employment; Litigation; Tax; Venture Capital,41.0
"Williams, Cook and Beard",Operative radical algorithm,Lost,11/2/23,2/24/23,New,20400.0,Demo Requests-Coyote-Website MQLs-071322,Inertia (Provide Details),Litigation,3.0
Hunt-Bonilla,Distributed tertiary interface,Lost,2/27/24,2/6/23,Upsell,20400.0,Check-in Call,Functionality (Provide Details),,44.0
"Hunter, Martinez and Suarez",Programmable directional flexibility,Lost,1/18/24,8/11/22,Cross-Sell,20400.0,Referred by Employee,Inertia (Provide Details),Bankruptcy; Energy,184.0
Hill-Davis,Persevering discrete workforce,Lost,2/17/23,7/25/22,Upsell,20400.0,No Known Campaign Source,Inertia (Provide Details),Bankruptcy; Real Estate; Trusts & Estates,47.0
Barnes-Wright,Exclusive object-oriented time-frame,Lost,5/13/24,6/28/22,New,20400.0,Coyote Transfer Opp,Inertia (Provide Details),,5.0
"Anderson, Grant and Harrison",Profound grid-enabled infrastructure,Lost,2/16/23,6/20/22,New,20400.0,Cold Call,Inertia (Provide Details),,18.0
Johnson and Sons,Synergized multi-tasking circuit,Open,12/31/24,4/11/24,Upsell,20499.96,No Known Campaign Source,,Bankruptcy; Real Estate; Trusts & Estates,47.0
"Nguyen, Mercado and Cross",Extended systemic data-warehouse,Lost,11/4/24,11/4/24,New,20700.0,CB-ChatBot-1024-Marketo-PG1205A1,Inertia (Provide Details),,
Brown-Diaz,Switchable dedicated flexibility,Lost,10/24/24,9/11/24,New,20700.0,WR-Demo Request-0523-Research:Coyote Analytics-PG1099A1,Inertia (Provide Details),,3.0
Baker-Johnson,Total bi-directional matrices,Lost,10/24/24,8/5/24,New,20700.0,TS-National ALA Booth Visitors 2024,Feature (Provide Details),,7.0
Simmons PLC,Persistent full-range success,Lost,7/30/24,6/27/24,New,20700.0,WR-Demo Request-Website-SurePoint.com-PG1142A1,Functionality (Provide Details),,2.0
